
Term A,Term B,conjunction,A~B,B~A,disjunction,conj/disj
"Posterior parahippocampal gyrus","Posterior parietal",0,41,2154,2195,0.0
"Posterior parahippocampal gyrus","Superior temporal",4,37,4103,4140,0.000966183574879
Perirhinal,("Ventral posterolateral" AND (nuclei OR nucleus)),0,1200,148,1348,0.0
Pineal,(Septal AND (nuclei OR nucleus)),25,14378,4635,19013,0.00131488981223
"Middle temporal",("Straight gyrus" OR "gyrus rectus"),4,1633,126,1759,0.00227401932916
"Middle temporal",Suprachiasmatic,0,1637,6026,7663,0.0
("Superior olive" OR "superior olivary"),Suprachiasmatic,6,1251,6020,7271,0.000825195984046
"Supplementary motor",("Ventral anterior" AND (nuclei OR nucleus)),12,2349,225,2574,0.004662004662
Temporoparietal,"Thalamic reticular",0,1460,600,2060,0.0
Subiculum,"Zona incerta",101,98140,873,99013,0.00102006807187
"Amygdala",Subiculum,8186,15171,90055,105226,0.0777944614449
"Amygdala","Ventral tegmentum",45,23312,240,23552,0.00191066576087
"Angular gyrus","Paracentral lobule",2,500,63,563,0.00355239786856
Cingulate,"Pontine nuclei",32,11072,766,11838,0.00270315931745
"Basal forbrain",Cerebellum,0,1,65400,65401,0.0
("Centromedian" AND (nuclei OR nucleus)),"Piriform cortex",1,215,1742,1957,0.000510986203373
"Lateral geniculate","Piriform cortex",9,5171,1734,6905,0.00130340333092
"Diagonal band of Broca","Lateral geniculate",10,885,5170,6055,0.00165152766309
Fusiform,(Medulla OR "medulla oblongata"),125,5330,50697,56027,0.00223106716405
Ambiguus,("Superior olive" OR "superior olivary"),16,1200,1241,2441,0.00655469070053
"Broca's area",("Centromedian" AND (nuclei OR nucleus)),0,694,216,910,0.0
Caudate,Pulvinar,87,18714,1046,19760,0.0044028340081
Claustrum,("Superior olive" OR "superior olivary"),20,82721,1237,83958,0.000238214345268
("Gustatory cortex" OR "gustatory area"),"Supplementary motor",1,152,2360,2512,0.000398089171975
"Dentate gyrus",Subthalam*,43,11400,4086,15486,0.00277670153687
"Dentate gyrus",("Posterior nucleus" AND hypothalamus),1,11442,66,11508,8.68960722975e-05
"Indusium griseum",("Ventral posteromedial" AND (nuclei OR nucleus)),0,77,112,189,0.0
(Cochlear AND (nuclei OR nucleus)),"Posterior parahippocampal gyrus",0,5307,41,5348,0.0
"Inferior parietal lobule",Orbitofrontal,26,770,2970,3740,0.00695187165775
"Globus pallidus",Prefrontal,245,7861,23856,31717,0.00772456411388
Hippocamp*,"Stria terminalis",465,103629,2265,105894,0.00439118363647
Hippocamp*,Thalamus,6193,97901,36689,134590,0.0460138197489
"Interstitial nucleus","Postcentral gyrus",0,514,531,1045,0.0
"Lingual gyrus","Olfactory bulb",0,254,11211,11465,0.0
("Nucleus gracilis" OR "gracile nucleus"),"Postcentral gyrus",0,374,531,905,0.0
Parahippocamp*,"Pontine nuclei",3,2656,795,3451,0.000869313242538
Parahippocamp*,("Ventral posteromedial" AND (nuclei OR nucleus)),0,2659,112,2771,0.0
"Medial geniculate",Orbitofrontal,4,1245,2992,4237,0.000944064196365
periaqueductal,"Superior frontal",2,4574,1089,5663,0.00035316969804
"Pontine nuclei","Posterior parahippocampal gyrus",1,797,40,837,0.00119474313023
"Nucleus accumbens","Substantia nigra",1354,11191,18033,29224,0.0463317820969
("Locus coeruleus" OR "locus ceruleus"),"Posterior parietal",4,7635,2150,9785,0.000408788962698
"Paracentral lobule",Perirhinal,0,65,1200,1265,0.0
"Posterior cingulate","Primary motor",34,1868,3171,5039,0.00674737051002
"Piriform cortex","Postcentral gyrus",2,1741,529,2270,0.000881057268722
"Posterior parietal","Stria terminalis",0,2154,2730,4884,0.0
Precuneus,Suprachiasmatic,0,1220,6026,7246,0.0
Subthalam*,"Superior frontal",6,4123,1085,5208,0.00115207373272
Cerebellum,"Piriform cortex",172,65228,1571,66799,0.00257488884564
"Anterior cingulate","Ventral tegmentum",3,5799,282,6081,0.000493339911199
"Calcarine fissure",(Medulla OR "medulla oblongata"),0,103,50822,50925,0.0
("Centromedian" AND (nuclei OR nucleus)),"Thalamic reticular",6,210,594,804,0.00746268656716
"Diagonal band of Broca",(Periventricular AND (nuclei OR nucleus)),80,815,2415,3230,0.0247678018576
Entorhinal,("Nucleus gracilis" OR "gracile nucleus"),0,5547,374,5921,0.0
Entorhinal,Pineal,6,5541,14397,19938,0.000300932891965
Entorhinal,(Intralaminar AND (nuclei OR nucleus)),27,5520,1073,6593,0.00409525254057
"Dorsolateral prefrontal","Nucleus accumbens",34,2970,12511,15481,0.00219624055294
"Broca's area",("Locus coeruleus" OR "locus ceruleus"),1,693,7638,8331,0.000120033609411
("Gustatory cortex" OR "gustatory area"),(Inferior AND collicul*),0,153,4283,4436,0.0
("Heschl's gyrus" OR "Transverse temporal"),"Visual cortex",24,1124,22856,23980,0.00100083402836
Claustrum,"Indusium griseum",6,82735,71,82806,7.24585174987e-05
Hypothalam*,(Intralaminar AND (nuclei OR nucleus)),147,107402,953,108355,0.00135665174657
(Cochlear AND (nuclei OR nucleus)),("Posterior nucleus" AND hypothalamus),0,5307,67,5374,0.0
Fusiform,Striatum,74,5381,58866,64247,0.00115180475353
"Indusium griseum","Posterior parahippocampal gyrus",0,77,41,118,0.0
"Inferior parietal lobule","Paracentral lobule",6,790,59,849,0.00706713780919
"Inferior parietal lobule",Infralimbic,0,796,496,1292,0.0
"Inferior parietal lobule","Nucleus accumbens",2,794,12543,13337,0.000149958761341
("Mammillary body" OR "Mammillary bodies),("Ventral anterior" AND (nuclei OR nucleus)),63,63,236,299,0.210702341137
("Nucleus gracilis" OR "gracile nucleus"),"Substantia nigra",11,363,19376,19739,0.000557272404884
"Medial geniculate","Pontine nuclei",24,1225,774,1999,0.0120060030015
Parahippocamp*,"Superior frontal",77,2582,1014,3596,0.0214126807564
(Medulla OR "medulla oblongata"),("Red nucleus"),318,50504,2058,52562,0.00604999809748
Insula*,"Piriform cortex",85,17088,1658,18746,0.00453430065081
Insula*,"Posterior parahippocampal gyrus",2,17171,39,17210,0.000116211504939
Orbitofrontal,"Pontine nuclei",3,2993,795,3788,0.000791974656811
"Paracentral lobule","Primary motor",4,61,3201,3262,0.00122624156959
Orbitofrontal,"Visual extrastriate",18,2978,1516,4494,0.00400534045394
"Posterior parahippocampal gyrus",Pulvinar,3,38,1130,1168,0.00256849315068
"Middle temporal",Precuneus,119,1518,1101,2619,0.0454371897671
"Stria terminalis","Visual extrastriate",0,2730,1534,4264,0.0
("Superior olive" OR "superior olivary"),("Ventral anterior" AND (nuclei OR nucleus)),0,1257,237,1494,0.0
("Ventral anterior" AND (nuclei OR nucleus)),"Wernicke's area",0,237,251,488,0.0
("Ventral posteromedial" AND (nuclei OR nucleus)),"Visual cortex",1,111,22879,22990,4.34971726838e-05
Pulvinar,"Stria terminalis",8,1125,2722,3847,0.00207954250065
"Amygdala",("Gustatory cortex" OR "gustatory area"),38,23319,115,23434,0.00162157548861
Ambiguus,Parahippocamp*,0,1216,2659,3875,0.0
Ambiguus,"Paracentral lobule",0,1216,65,1281,0.0
"Angular gyrus","Superior temporal",98,404,4009,4413,0.022207115341
"Angular gyrus","Medial frontal",22,480,1573,2053,0.0107160253288
"Basal forbrain","Inferior frontal",0,1,2812,2813,0.0
(Dorsomedial AND hypothal*),"Visual extrastriate",0,2139,1534,3673,0.0
(Cochlear AND (nuclei OR nucleus)),"Thalamic reticular",7,5300,593,5893,0.00118784999152
"Basal forbrain","Olfactory bulb",0,1,11211,11212,0.0
"Broca's area",(Inferior AND collicul*),0,694,4283,4977,0.0
Fusiform,Prefrontal,329,5126,23772,28898,0.0113848709253
Caudate,"Substantia nigra",2822,15979,16565,32544,0.0867133726647
("Heschl's gyrus" OR "Transverse temporal"),("Ventral anterior" AND (nuclei OR nucleus)),0,1148,237,1385,0.0
Caudate,"Supplementary motor",99,18702,2262,20964,0.00472238122496
Cingulum,"Middle temporal",9,676,1628,2304,0.00390625
(Cochlear AND (nuclei OR nucleus)),"Postcentral gyrus",0,5307,531,5838,0.0
"Indusium griseum","Inferior frontal",0,77,2812,2889,0.0
"Globus pallidus","Posterior parietal",11,8095,2143,10238,0.00107442859934
"Inferior parietal lobule","Nucleus basalis",5,791,1842,2633,0.00189897455374
"Inferior temporal","Paracentral lobule",2,1709,63,1772,0.00112866817156
"Interstitial nucleus","Middle frontal",0,514,1028,1542,0.0
(Inferior AND collicul*),Temporoparietal,1,4282,1459,5741,0.000174185681937
("Medial dorsal" AND nucl*),("Red nucleus"),3,110,2373,2483,0.0012082158679
"Nucleus basalis","Ventromedial prefrontal",0,1847,3,1850,0.0
Infralimbic,"Nucleus accumbens",108,388,12437,12825,0.00842105263158
Infralimbic,"Posterior parahippocampal gyrus",0,496,41,537,0.0
"Middle frontal",("Ventral posteromedial" AND (nuclei OR nucleus)),0,1028,112,1140,0.0
"Pontine nuclei",Suprachiasmatic,11,787,6015,6802,0.00161717142017
"Olfactory bulb",Pulvinar,1,11210,1132,12342,8.10241451953e-05
"Nucleus accumbens","Primary auditory",4,12541,1865,14406,0.000277662085242
"Posterior cingulate",("Ventral posteromedial" AND (nuclei OR nucleus)),0,1902,112,2014,0.0
"Posterior cingulate",Temporoparietal,61,1841,1399,3240,0.0188271604938
"Posterior cingulate",Premotor,79,1823,4650,6473,0.0122045419435
"Primary sensory","Supplementary motor",43,2967,2318,5285,0.0081362346263
Perirhinal,"Ventral tegmentum",2,1198,283,1481,0.00135043889264
"Primary auditory","Thalamic reticular",5,1864,595,2459,0.00203334688898
"Middle frontal",("Nucleus cuneatus" OR "cuneate nucleus"),0,1028,692,1720,0.0
"Middle temporal","Posterior parietal",59,1578,2095,3673,0.0160631636265
"Middle frontal",Operculum,19,1009,907,1916,0.00991649269311
Subgranular,Striatum,20,612,58920,59532,0.000335953772761
Temporoparietal,"Wernicke's area",10,1450,241,1691,0.00591366055588
"Superior temporal","Zona incerta",5,4102,969,5071,0.000985998816801
"Visual extrastriate","Zona incerta",2,1532,972,2504,0.000798722044728
Putamen,("Ventral posterolateral" AND (nuclei OR nucleus)),8,10741,140,10881,0.000735226541678
"Substantia nigra","Supplementary motor",28,19359,2333,21692,0.00129079845104
Subiculum,Subgranular,505,97736,127,97863,0.00516027507843
(Intralaminar AND (nuclei OR nucleus)),Suprachiasmatic,6,1094,6020,7114,0.000843407365758
(Cochlear AND (nuclei OR nucleus)),Subiculum,139,5168,98102,103270,0.00134598624964
("Centromedian" AND (nuclei OR nucleus)),"Zona incerta",12,204,962,1166,0.0102915951973
Cerebellum,"Stria terminalis",109,65291,2621,67912,0.00160501825892
Cerebellum,"Globus pallidus",755,64645,7351,71996,0.0104866937052
Entorhinal,Orbitofrontal,78,5469,2918,8387,0.00930010730893
"Dorsolateral prefrontal","Middle frontal",60,2944,968,3912,0.0153374233129
"Basal forbrain","Superior frontal",0,1,1091,1092,0.0
"Calcarine fissure",Operculum,3,100,923,1023,0.00293255131965
Fusiform,Pons,177,5278,25407,30685,0.00576829069578
Caudate,"Superior frontal",67,18734,1024,19758,0.00339103148092
Caudate,"Posterior parahippocampal gyrus",0,18801,41,18842,0.0
Claustrum,Parahippocamp*,334,82407,2325,84732,0.00394184015484
Cingulum,Temporoparietal,2,683,1458,2141,0.000934142923867
Claustrum,("Mammillary body" OR "Mammillary bodies),155,82586,1214,83800,0.00184964200477
("Inferior olive" OR "Inferior olivary"),"Thalamic reticular",5,2375,595,2970,0.0016835016835
Fusiform,"Wernicke's area",8,5447,243,5690,0.00140597539543
("Inferior olive" OR "Inferior olivary"),"Posterior cingulate",1,2379,1901,4280,0.000233644859813
Hippocamp*,(Raphe AND (nuclei OR nucleus)),1465,102629,6856,109485,0.013380828424
"Lingual gyrus",Striatum,3,251,58937,59188,5.06859498547e-05
"Inferior temporal","Supplementary motor",22,1689,2339,4028,0.00546176762661
(Intralaminar AND (nuclei OR nucleus)),"Lateral geniculate",101,999,5079,6078,0.0166173083251
("Medial dorsal" AND nucl*),"Olfactory bulb",0,113,11211,11324,0.0
("Nucleus gracilis" OR "gracile nucleus"),("Straight gyrus" OR "gyrus rectus"),0,374,130,504,0.0
Parahippocamp*,"Posterior parietal",51,2608,2103,4711,0.0108257270219
"Middle temporal",Parahippocamp*,122,1515,2537,4052,0.0301085883514
("Locus coeruleus" OR "locus ceruleus"),"Stria terminalis",284,7355,2446,9801,0.0289766350372
"Nucleus basalis",("Posterior nucleus" AND hypothalamus),0,1847,67,1914,0.0
"Posterior parahippocampal gyrus",Subthalam*,0,41,4129,4170,0.0
"Primary sensory","Visual extrastriate",7,3003,1527,4530,0.00154525386313
Pineal,"Stria terminalis",27,14376,2703,17079,0.00158088881082
Pineal,"Superior temporal",0,14403,4107,18510,0.0
Pineal,"Ventromedial prefrontal",0,14403,3,14406,0.0
("Straight gyrus" OR "gyrus rectus"),"Visual cortex",1,129,22879,23008,4.34631432545e-05
Pineal,("Ventral posteromedial" AND (nuclei OR nucleus)),0,14403,112,14515,0.0
"Ventromedial prefrontal","Ventral tegmentum",0,3,285,288,0.0
("Ventral posteromedial" AND (nuclei OR nucleus)),"Ventromedial prefrontal",0,112,3,115,0.0
Temporoparietal,"Ventral tegmentum",0,1460,285,1745,0.0
(Raphe AND (nuclei OR nucleus)),Subiculum,1397,6924,96844,103768,0.0134627245394
"Angular gyrus","Thalamic reticular",0,502,600,1102,0.0
"Anterior cingulate","Ventromedial prefrontal",0,5802,3,5805,0.0
"Basal forbrain","Diagonal band of Broca",0,1,895,896,0.0
Cingulate,Parahippocamp*,571,10533,2088,12621,0.0452420568893
(Dorsomedial AND hypothal*),"Posterior cingulate",3,2136,1899,4035,0.000743494423792
"Dorsolateral prefrontal","Indusium griseum",0,3004,77,3081,0.0
(Dorsomedial AND hypothal*),Operculum,3,2136,923,3059,0.000980712651193
"Globus pallidus",Pulvinar,19,8087,1114,9201,0.00206499293555
"Globus pallidus",(Raphe AND (nuclei OR nucleus)),166,7940,8155,16095,0.0103137620379
Caudate,Putamen,7700,11101,3049,14150,0.544169611307
Caudate,Cingulate,944,17857,10160,28017,0.0336938287468
("Gustatory cortex" OR "gustatory area"),Subgranular,0,153,632,785,0.0
Cingulum,Subgranular,1,684,631,1315,0.000760456273764
Caudate,"Visual extrastriate",12,18789,1522,20311,0.000590812860027
("Gustatory cortex" OR "gustatory area"),"Primary sensory",3,150,3007,3157,0.000950269242952
(Inferior AND collicul*),"Indusium griseum",2,4281,75,4356,0.000459136822773
Insula*,(Septal AND (nuclei OR nucleus)),52,17121,4608,21729,0.00239311519168
Insula*,("Ventral anterior" AND (nuclei OR nucleus)),11,17162,226,17388,0.000632620197838
"Nucleus basalis",Putamen,77,1770,10672,12442,0.00618871564057
"Inferior frontal","Medial geniculate",2,2810,1247,4057,0.000492975104757
periaqueductal,Suprachiasmatic,54,4522,5972,10494,0.00514579759863
periaqueductal,("Ventral anterior" AND (nuclei OR nucleus)),8,4568,229,4797,0.00166770898478
(Medulla OR "medulla oblongata"),Pons,5701,45121,19883,65004,0.0877022952434
"Middle frontal","Wernicke's area",3,1025,248,1273,0.00235663786332
"Nucleus accumbens",("Ventral posteromedial" AND (nuclei OR nucleus)),2,12543,110,12653,0.000158065280961
"Medial frontal",Subiculum,160,1435,98081,99516,0.00160778166325
"Paracentral lobule",Prefrontal,11,54,24090,24144,0.000455599734924
("Posterior nucleus" AND hypothalamus),"Visual cortex",0,67,22880,22947,0.0
"Primary sensory",Premotor,55,2955,4674,7629,0.00720933280902
"Middle temporal",("Ventral anterior" AND (nuclei OR nucleus)),1,1636,236,1872,0.000534188034188
Pineal,"Visual extrastriate",0,14403,1534,15937,0.0
"Posterior parietal","Zona incerta",4,2150,970,3120,0.00128205128205
Prefrontal,Subthalam*,107,23994,4022,28016,0.00381924614506
("Red nucleus"),Subgranular,2,2374,630,3004,0.000665778961385
Prefrontal,("Ventral posterior" AND (nuclei OR nucleus)),5,24096,351,24447,0.000204524072483
"Amygdala","Inferior parietal lobule",26,23331,770,24101,0.00107879341106
"Angular gyrus",("Heschl's gyrus" OR "Transverse temporal"),8,494,1140,1634,0.00489596083231
Cerebellum,Orbitofrontal,175,65225,2821,68046,0.00257178967169
Cingulate,(Intralaminar AND (nuclei OR nucleus)),67,11037,1033,12070,0.00555095277548
Cingulate,"Inferior temporal",203,10901,1508,12409,0.0163590942058
"Diagonal band of Broca",Striatum,77,818,58863,59681,0.0012901928587
Entorhinal,Precuneus,24,5523,1196,6719,0.00357196011311
"Calcarine fissure",("Nucleus cuneatus" OR "cuneate nucleus"),0,103,692,795,0.0
"Amygdala",Caudate,1529,21828,17272,39100,0.039104859335
Caudate,"Globus pallidus",1785,17016,6321,23337,0.0764879804602
("Gustatory cortex" OR "gustatory area"),"Ventral tegmentum",0,153,285,438,0.0
Hypothalam*,("Medial dorsal" AND nucl*),14,107535,99,107634,0.000130070423844
(Inferior AND collicul*),Infralimbic,2,4281,494,4775,0.000418848167539
Entorhinal,"Visual extrastriate",4,5543,1530,7073,0.000565530892125
Hypothalam*,"Visual cortex",265,107284,22615,129899,0.00204004649766
"Globus pallidus",Infralimbic,11,8095,485,8580,0.00128205128205
"Inferior temporal",Pons,16,1695,25568,27263,0.000586875985768
Hippocamp*,Striatum,9193,94901,49747,144648,0.063554283502
Hippocamp*,Temporoparietal,92,104002,1368,105370,0.000873113789504
"Lingual gyrus",("Superior olive" OR "superior olivary"),0,254,1257,1511,0.0
(Intralaminar AND (nuclei OR nucleus)),"Nucleus accumbens",45,1055,12500,13555,0.00331980818886
("Nucleus cuneatus" OR "cuneate nucleus"),"Pontine nuclei",24,668,774,1442,0.0166435506241
("Nucleus cuneatus" OR "cuneate nucleus"),"Primary motor",2,690,3203,3893,0.00051374261495
"Inferior temporal",(Medulla OR "medulla oblongata"),3,1708,50819,52527,5.71134844937e-05
("Nucleus gracilis" OR "gracile nucleus"),Subgranular,0,374,632,1006,0.0
"Inferior temporal","Visual extrastriate",51,1660,1483,3143,0.0162265351575
(Medulla OR "medulla oblongata"),"Piriform cortex",47,50775,1696,52471,0.00089573288102
"Olfactory bulb",Precuneus,1,11210,1219,12429,8.04569957358e-05
Operculum,Pons,11,915,25573,26488,0.000415282392027
"Nucleus accumbens",Premotor,18,12527,4711,17238,0.00104420466411
Operculum,Subthalam*,3,923,4126,5049,0.000594177064765
"Nucleus accumbens",("Red nucleus"),37,12508,2339,14847,0.00249208594329
Orbitofrontal,Pons,35,2961,25549,28510,0.00122763942476
"Piriform cortex",Putamen,125,1618,10624,12242,0.0102107498775
Striatum,Thalamus,6005,52935,36877,89812,0.0668618892798
Thalamus,"Ventral tegmentum",37,42845,248,43093,0.00085860812661
"Ventromedial prefrontal","Zona incerta",0,3,974,977,0.0
Subgranular,("Superior olive" OR "superior olivary"),0,632,1257,1889,0.0
(Raphe AND (nuclei OR nucleus)),"Supplementary motor",3,8318,2358,10676,0.000281004121394
"Inferior frontal",Perirhinal,5,2807,1195,4002,0.00124937531234
"Amygdala","Interstitial nucleus",37,23320,477,23797,0.00155481783418
"Anterior cingulate","Nucleus accumbens",222,5580,12323,17903,0.0124001563984
("Centromedian" AND (nuclei OR nucleus)),("Straight gyrus" OR "gyrus rectus"),0,216,130,346,0.0
("Centromedian" AND (nuclei OR nucleus)),"Primary motor",5,211,3200,3411,0.00146584579302
Cingulate,periaqueductal,231,10873,4345,15218,0.0151793928243
Cingulate,("Medial dorsal" AND nucl*),30,11074,0,11074,0.00270904822106
"Dorsolateral prefrontal",periaqueductal,11,2993,4565,7558,0.00145541148452
"Diagonal band of Broca",("Heschl's gyrus" OR "Transverse temporal"),0,895,1148,2043,0.0
Entorhinal,("Posterior nucleus" AND hypothalamus),4,5543,63,5606,0.000713521227257
("Gustatory cortex" OR "gustatory area"),"Nucleus accumbens",4,149,12541,12690,0.000315208825847
"Basal forbrain","Zona incerta",0,1,974,975,0.0
("Centromedian" AND (nuclei OR nucleus)),Fusiform,1,215,5454,5669,0.000176397953784
Claustrum,Cingulum,48,82693,637,83330,0.000576023040922
(Cochlear AND (nuclei OR nucleus)),Operculum,0,5307,926,6233,0.0
(Inferior AND collicul*),"Lingual gyrus",0,4283,254,4537,0.0
